,Index,Mean,Stddev
0,1.0,-2.443488655025293,6.177728917325951
1,2.0,-2.9296333197964812,6.177729087773893
2,3.0,-3.2402051771509393,6.177729437881408
3,4.0,-3.130535745388442,6.177729643741559
4,5.0,-3.1507985249562847,6.177729243632525
5,6.0,-3.124152222902722,6.177729257252053
6,7.0,-3.043913670773503,6.1777297371682245
7,8.0,-2.8277417559954174,6.17772986518047
8,9.0,-2.8448424167642457,6.177730340449062
9,10.0,-3.237506582198437,6.177729896701849
10,11.0,-4.091928409094995,6.1777298630089605
11,12.0,-4.731076381169811,6.177729582283038
12,13.0,-5.419469737430284,6.177729904411201
13,14.0,-6.042471832701955,6.177729320109008
14,15.0,-6.555809143571942,6.177730123096458
15,16.0,-6.533094097589322,6.177729699931325
16,17.0,-6.466390083757229,6.177729016134243
17,18.0,-6.247465470116272,6.177729127388188
18,19.0,-6.476859201841703,6.177729123255944
19,20.0,-5.9420464063289264,6.177729480734837
20,21.0,-5.632378906745837,6.177729082882441
21,22.0,-5.417547120962686,6.177729123376239
22,23.0,-4.92481629145455,6.177730142337137
23,24.0,-4.832109643670256,6.177730458227091
24,25.0,-4.849669579858534,6.177731040886203
25,26.0,-4.722405076797529,6.177731097338923
26,27.0,-4.83146589880139,6.177730944249162
27,28.0,-4.98743055878476,6.17773125880465
28,29.0,-1.1528222821701348,6.185018155873018
29,30.0,-1.3835843747022694,6.185018161262628
30,31.0,-1.7261829947900753,6.185018239756785
31,32.0,-2.105244159822246,6.185018325689656
32,33.0,-3.3021202463190376,6.185018164722287
33,34.0,-3.941125907029478,6.185018207786351
34,35.0,-4.348689593985815,6.1850182270544005
35,36.0,-4.514411754129402,6.185018221604009
36,37.0,-4.649594988409681,6.185018282024938
37,38.0,-4.8096732503860595,6.185018405699051
38,39.0,-4.891218233207061,6.18501855035916
39,40.0,-4.692110028871021,6.185018456793487
40,41.0,-4.341396097034865,6.18501841910609
41,42.0,-3.7905745837891245,6.185018455587987
42,43.0,-3.0703944081590855,6.185018379234438
43,44.0,-1.6858397212842815,6.185018372142682
44,45.0,0.0839256086293457,6.1850182038251535
45,46.0,0.5750246785404649,6.185018239421095
46,47.0,0.7090955486946054,6.185018278992908
47,48.0,0.8590235960265309,6.1850182247520324
48,49.0,0.49513580994077383,6.185018382784645
49,50.0,0.01459984082175206,6.185018577633669
50,51.0,-0.2618415817500938,6.185018966205414
51,52.0,-0.1286938891180529,6.18501918522762
52,53.0,-0.06826101651199333,6.185018716287663
53,54.0,-0.09978862750195718,6.185018719009646
54,55.0,0.07105862027942476,6.185019250703297
55,56.0,0.24014357853575663,6.185019382724486
56,57.0,0.35086900472343197,6.1850198911122325
57,58.0,-0.052969073754250806,6.1850193963220885
58,59.0,-1.0080430745638669,6.185019350835271
59,60.0,-1.5315823509865225,6.185019035143774
60,61.0,-1.742193098551397,6.185019405406264
61,62.0,-2.3866734546926596,6.185018752108491
62,63.0,-2.9426194612148318,6.185019663116077
63,64.0,-2.7891652847974355,6.185019199629412
64,65.0,-2.4575917057479653,6.185018337130607
65,66.0,-2.1473192660200384,6.185018398632801
66,67.0,-2.4270173455715693,6.185018396913522
67,68.0,-1.8728567239718235,6.185018680250493
68,69.0,-1.6095805287365508,6.185018380656844
69,70.0,-1.260922655996875,6.185018401839156
70,71.0,-1.0142787830104576,6.185019251752334
71,72.0,-0.8101808308783359,6.185019533475173
72,73.0,-0.865132071414437,6.185020062353992
73,74.0,-0.854258872701251,6.185020107336628
74,75.0,-0.9414936077485846,6.18501995693097
75,76.0,-1.1021539199058772,6.185020238637873
76,77.0,-3.6163424689927424,6.192293018542178
77,78.0,-3.7075828223944427,6.1922930250215416
78,79.0,-4.098790138134404,6.192292919119066
79,80.0,-4.445590433601353,6.1922929525210995
80,81.0,-5.333509998359013,6.192292913280644
81,82.0,-5.844124354721626,6.192292895688888
82,83.0,-6.236514128634473,6.19229307917015
83,84.0,-6.3031058539954445,6.192293058496483
84,85.0,-6.5115934361018075,6.192293158895188
85,86.0,-6.639323871991208,6.192293340256576
86,87.0,-6.9530427678556865,6.1922935328718935
87,88.0,-6.786369346128314,6.192293403341356
88,89.0,-6.391307588205181,6.192293352625834
89,90.0,-5.9246165097420285,6.192293403204625
90,91.0,-4.833871116720673,6.192293293651166
91,92.0,-3.4263164298458535,6.192293278303423
92,93.0,-2.246072839062644,6.1922929618706055
93,94.0,-1.863408551760213,6.1922929195388825
94,95.0,-1.4659898555191018,6.192292934524209
95,96.0,-1.26593137340456,6.192293035947778
96,97.0,-1.6069930725337855,6.192292999281015
97,98.0,-2.118920346000639,6.192293120650614
98,99.0,-2.3497095946594366,6.192293406509467
99,100.0,-2.1662575542013323,6.192293574651944
100,101.0,-2.136172507682247,6.192293220987769
101,102.0,-2.173569683889646,6.192293221653788
102,103.0,-1.909287653499577,6.192293623914325
103,104.0,-1.7158983474171756,6.192293723914177
104,105.0,-1.6729120516643001,6.192294139958318
105,106.0,-2.036184912750693,6.192293725913869
106,107.0,-3.007780652690754,6.192293680922654
107,108.0,-3.5490590595482074,6.192293414275645
108,109.0,-3.9684524158087884,6.192293667026457
109,110.0,-4.502411032819638,6.1922931337532345
110,111.0,-5.315487474124442,6.192293805400298
111,112.0,-5.1077724281418275,6.192293403512372
112,113.0,-4.6712423273532435,6.192292878912553
113,114.0,-4.334491626755735,6.1922930158706455
114,115.0,-4.3298853584811905,6.1922929866678915
115,116.0,-3.964550823837954,6.192293392227059
116,117.0,-3.694622454689631,6.192292877277188
117,118.0,-3.4110950167325584,6.192292913404085
118,119.0,-3.0508859263548187,6.1922940684632195
119,120.0,-2.850961887266169,6.192294392408634
120,121.0,-3.00860877997619,6.19229500017627
121,122.0,-3.0089964508282234,6.192295043602485
122,123.0,-3.163318142397278,6.1922948646763585
123,124.0,-3.294978454554576,6.1922951849726235
124,125.0,-3.0274788776786954,6.199562550548552
125,126.0,-3.1465453180369156,6.199562547845943
126,127.0,-3.5491874163855535,6.199562444942737
127,128.0,-3.9889442335916336,6.1995624727659076
128,129.0,-4.871907276610159,6.19956241712988
129,130.0,-5.413304241668422,6.199562394669612
130,131.0,-5.55895488514648,6.199562558386778
131,132.0,-5.58176400181179,6.1995625297119235
132,133.0,-5.959816801309455,6.199562618133563
133,134.0,-6.265068976329269,6.199562786168085
134,135.0,-6.4475704808893965,6.199562966087611
135,136.0,-6.326331841770693,6.199562829898853
136,137.0,-6.401922257760575,6.199562770670131
137,138.0,-5.908839874949587,6.199562810826896
138,139.0,-4.933181438449958,6.1995626942653335
139,140.0,-3.52188762114034,6.199562670209331
140,141.0,-2.0076875086179826,6.199562354449805
141,142.0,-1.6412840908807522,6.199562307342673
142,143.0,-1.4072132207265882,6.199562314103306
143,144.0,-1.2054156081772605,6.1995623955998145
144,145.0,-1.420781655132558,6.199562361543324
145,146.0,-1.8769263199037691,6.199562477756325
146,147.0,-2.2149764381277843,6.19956275989313
147,148.0,-2.0841765715827414,6.199562921563522
148,149.0,-2.0178306554984533,6.199562551826586
149,150.0,-2.1067495708363326,6.19956254322363
150,151.0,-1.7803805839245335,6.199562943431023
151,152.0,-1.5415999734943207,6.199563035992034
152,153.0,-1.4547006342632023,6.199563447629711
153,154.0,-1.7987995823061305,6.199563020070966
154,155.0,-2.5088735831157716,6.1995629659535725
155,156.0,-3.0459345986688904,6.199562687998948
156,157.0,-3.4792409984077874,6.199562939804603
157,158.0,-4.079286571940402,6.199562391921211
158,159.0,-4.947884752375653,6.199563069478219
159,160.0,-4.905561010740869,6.199562656216766
160,161.0,-4.346335257778383,6.199562102946231
161,162.0,-3.9539758615286886,6.19956222586134
162,163.0,-3.9962391584715458,6.199562189488991
163,164.0,-3.5193828846978623,6.199562577398082
164,165.0,-3.2563675590277987,6.199562068224401
165,166.0,-2.958144468896803,6.199562094157614
166,167.0,-2.710587552432095,6.199563217778465
167,168.0,-2.579533078560826,6.199563528978258
168,169.0,-2.8428321451838956,6.1995641208248955
169,170.0,-2.795871989948972,6.199564154756176
170,171.0,-2.826628464126704,6.199563968441424
171,172.0,-2.8060279067187968,6.199564275811832
172,173.0,-1.1882711688924785,6.275080990984435
173,174.0,-1.3779680440333077,6.275081019785451
174,175.0,-1.9203057945559066,6.275081153326631
175,176.0,-2.206812611761991,6.275081271627076
176,177.0,-2.9020437707225484,6.275081115044487
177,178.0,-3.298957040128645,6.2750811923998135
178,179.0,-3.6420968140415084,6.275081207230417
179,180.0,-3.647824408967708,6.275081228495739
180,181.0,-3.825572860639292,6.275081305461128
181,182.0,-3.9632109052243774,6.275081442136083
182,183.0,-4.1197649460163985,6.275081601404395
183,184.0,-4.001269060520948,6.275081538865838
184,185.0,-3.91549896926452,6.275081527655565
185,186.0,-3.5038513690622572,6.275081585440012
186,187.0,-2.71212952676556,6.275081539543674
187,188.0,-1.422721579021201,6.275081558195897
188,189.0,0.0615781711822729,6.2750814409533255
189,190.0,0.40429680631077747,6.2750815136086375
190,191.0,0.588548835885201,6.275081581120769
191,192.0,0.7682794194490126,6.275081524455241
192,193.0,0.6883970681458565,6.2750817388736815
193,194.0,0.327660012070315,6.2750819692170845
194,195.0,0.1677801837013679,6.275082396798136
195,196.0,0.23166519517399986,6.275082647526678
196,197.0,0.22236437212788998,6.275082186915473
197,198.0,0.20610850026838468,6.275082214675762
198,199.0,0.3559503132671647,6.275082789290742
199,200.0,0.6330334599293007,6.275082950749744
200,201.0,0.6786791759720563,6.2750834959628845
201,202.0,0.3063302279291634,6.275083016139903
202,203.0,-0.7325626134601553,6.275082996092235
203,204.0,-1.2394026145204877,6.275082700003775
204,205.0,-1.8774300287520036,6.275083114098284
205,206.0,-2.3638868341686146,6.2750824714728575
206,207.0,-2.836084652284983,6.275083443236852
207,208.0,-2.9865344613748293,6.275082998953832
208,209.0,-2.9528032736297027,6.2750821111388335
209,210.0,-2.6864076454959807,6.2750821848961325
210,211.0,-2.6630133337431587,6.275082213715192
211,212.0,-2.2627240889550158,6.275082499570547
212,213.0,-1.8795728937197447,6.275082265370184
213,214.0,-1.534380600690216,6.275082309607583
214,215.0,-1.2045628146603304,6.275083125705446
215,216.0,-1.027405079919511,6.275083423668781
216,217.0,-1.1168780595860501,6.275083960359805
217,218.0,-1.0340573971047475,6.275084030985045
218,219.0,-1.2707794509926682,6.275083912400999
219,220.0,-1.352037589236913,6.275084210832115
220,221.0,-4.330632900072431,6.282209930614936
221,222.0,-4.387371441879927,6.2822099566189
222,223.0,-4.475209192402506,6.282210027915146
223,224.0,-4.653341009608591,6.282210126311726
224,225.0,-5.2407388352358115,6.282210006065703
225,226.0,-5.734777104641904,6.28221006103675
226,227.0,-5.979041878554759,6.282210125480535
227,228.0,-6.029977806814287,6.282210138819797
228,229.0,-6.3319762584858665,6.2822102253170335
229,230.0,-6.364030969737596,6.282210377084959
230,231.0,-6.220835010529612,6.282210548320326
231,232.0,-6.042255791700803,6.282210471183372
232,233.0,-5.9064440337776825,6.282210452503477
233,234.0,-5.547963100242076,6.282210511430659
234,235.0,-4.816824591278699,6.282210451727594
235,236.0,-3.874083310200992,6.2822104645355035
236,237.0,-2.91599189333083,6.282210296719408
237,238.0,-2.848106591535647,6.28221034075007
238,239.0,-2.4158962286278776,6.28221039676561
239,240.0,-2.343415645064063,6.282210386448523
240,241.0,-2.6172563297005413,6.28221053466455
241,242.0,-2.9937433857760887,6.282210737775865
242,243.0,-3.004331547478366,6.282211128455604
243,244.0,-2.729821536005756,6.282211359333289
244,245.0,-2.391205692385214,6.2822109329535545
245,246.0,-2.240503230911431,6.282210956772466
246,247.0,-1.8598697512459967,6.282211485888477
247,248.0,-1.549744937917209,6.282211633719651
248,249.0,-1.2728492218744694,6.282212145412058
249,250.0,-1.367198169917379,6.2822116889835335
250,251.0,-1.8891743446400395,6.282211666034381
251,252.0,-1.7037643457003853,6.2822113832920765
252,253.0,-1.4027917599319544,6.2822117570348555
253,254.0,-0.6566235653485905,6.282211151419012
254,255.0,-0.30992826752257735,6.163027414722908
255,256.0,-0.06712626501821478,6.163026981074062
256,257.0,-0.6766396424904422,6.1630261869760545
257,258.0,-1.2220628549364627,6.1630262835328375
258,259.0,-1.8577174562270924,6.163026300921409
259,260.0,-1.5226872694099958,6.163026628071811
260,261.0,-1.8183241176529998,6.163026317078242
261,262.0,-1.646709723174213,6.163026363790898
262,263.0,-1.1894136762748009,6.1630272886778315
263,264.0,-0.9398809415340037,6.163027601833506
264,265.0,-0.8994843559831409,6.163028169247671
265,266.0,-0.8034372442264821,6.163028237158383
266,267.0,-0.5177589357955974,6.163028104033963
267,268.0,-0.4598975088224259,6.163028416183172
268,269.0,-1.360111173681389,6.1703912381103825
269,270.0,-1.5118732662135208,6.170391254736466
270,271.0,-1.6902110167361484,6.170391400432325
271,272.0,-1.7537939208987519,6.170391514106385
272,273.0,-2.609930876960768,6.1703913276477635
273,274.0,-3.298936537671215,6.170391400781765
274,275.0,-4.13736978984496,6.170391382586706
275,276.0,-4.416265863032045,6.1703913933876855
276,277.0,-4.757405619051451,6.170391453749246
277,278.0,-4.78504909841918,6.170391572323767
278,279.0,-4.627681037761933,6.170391714909157
279,280.0,-4.404268485599856,6.170391643506299
280,281.0,-4.587815423328971,6.170391621319008
281,282.0,-4.43355912747456,6.1703916654844395
282,283.0,-3.9967267779315057,6.170391610593789
283,284.0,-3.225302525839343,6.170391617798
284,285.0,-2.5944502394040088,6.170391505051087
285,286.0,-2.8494816042755198,6.17039157593989
286,287.0,-2.0924107341214078,6.1703916348455445
287,288.0,-2.1101783389634003,6.170391545497397
288,289.0,-2.534935690266576,6.170391774427926
289,290.0,-2.863949920255147,6.17039200400721
290,291.0,-2.9681304732617777,6.170392436873803
291,292.0,-2.800243650194915,6.170392684045488
292,293.0,-2.548028168893176,6.170392190668473
293,294.0,-2.382860127709134,6.170392206067463
294,295.0,-1.991795488623383,6.170392790771054
295,296.0,-1.6808844434105015,6.170392945034541
296,297.0,-1.4136807563532254,6.170393495304865
297,298.0,-1.379171008743922,6.1703929865118194
298,299.0,-1.5341145747709057,6.170392952896789
299,300.0,-0.9893495033674481,6.170392633560756
300,301.0,0.23021366211126576,6.170393053051855
301,302.0,1.39429852336136,6.170392373642117
302,303.0,2.5007003429261734,6.170393372614067
303,304.0,2.886763214995748,6.170392901315341
304,305.0,2.062336794045248,6.17039194659266
305,306.0,1.2926092337731478,6.170391998140723
306,307.0,-0.11330623708270635,6.17039201712938
307,308.0,-0.32514561548298443,6.170392277383067
308,309.0,-0.9706085506825083,6.170392053656406
309,310.0,-1.186733286638496,6.170392082911244
310,311.0,-1.1620024571303724,6.170392857108276
311,312.0,-1.2576871136939112,6.170393139770933
312,313.0,-1.5276818324908816,6.170393659579879
313,314.0,-1.642373851169011,6.170393717708776
314,315.0,-1.6966955427381059,6.17039358773385
315,316.0,-1.733442811417117,6.1703938714722115
316,317.0,-2.2562293558316324,6.177728579546175
317,318.0,-2.5114262309724587,6.177728596987967
318,319.0,-3.0535031119298504,6.177728593848292
319,320.0,-3.340868624788109,6.177728664692762
320,321.0,-4.239136015632729,6.177728575772025
321,322.0,-4.9883155893866515,6.177728599409871
322,323.0,-5.485009711125606,6.17772871302791
323,324.0,-5.6486014364865955,6.177728711272273
324,325.0,-5.727784670766873,6.177728803745125
325,326.0,-5.883254237091099,6.17772896868735
326,327.0,-5.784886176433849,6.1777291497165265
327,328.0,-5.558995363402178,6.177729049347884
328,329.0,-5.6948901272182235,6.177729016915341
329,330.0,-5.455807744407278,6.177729072550535
330,331.0,-4.847497133994644,6.177728991026189
331,332.0,-3.83163809929377,6.177728991480457
332,333.0,-2.8448727693801596,6.177728759705628
333,334.0,-2.698643264686443,6.177728768453158
334,335.0,-2.1057028293149243,6.177728808058911
335,336.0,-2.0012530428525666,6.177728844703448
